"Year","Month","Armagh","Ballymena","Coleraine","Dungannon","Enniskillen","L'derry/Strabane","Mallusk","Newry","Nt'Ards","Omagh","Total","Date"
2025,6,82,44,121,120,155,105,33,252,214,172,1298,2025-06-30
2025,5,150,56,206,122,200,24,38,278,300,161,1535,2025-05-31
2025,4,164,127,178,160,103,53,130,292,188,183,1578,2025-04-30
2025,3,140,43,170,197,281,46,20,258,212,182,1549,2025-03-31
2025,2,95,39,148,154,177,23,16,326,331,154,1463,2025-02-28
2025,1,102,125,249,105,335,93,58,275,333,184,1859,2025-01-31
2024,12,88,32,282,231,262,52,40,305,202,166,1660,2024-12-31
2024,11,181,105,285,237,436,100,66,442,211,293,2356,2024-11-30
2024,10,108,57,184,121,413,65,59,280,223,236,1746,2024-10-31
2024,9,124,96,278,128,239,88,45,236,250,163,1647,2024-09-30
2024,8,173,107,215,242,360,41,30,322,394,405,2289,2024-08-31
2024,7,96,54,225,93,359,41,61,189,324,85,1527,2024-07-31
2024,6,114,79,106,75,202,28,21,323,165,218,1331,2024-06-30
2024,5,187,92,93,172,174,93,10,344,162,185,1512,2024-05-31
2024,4,111,60,178,178,229,91,34,193,245,215,1534,2024-04-30
2024,3,322,76,164,151,197,76,33,378,200,169,1766,2024-03-31
2024,2,76,59,162,211,231,107,34,192,198,280,1550,2024-02-29
2024,1,142,62,202,285,242,55,15,226,162,201,1592,2024-01-31
2023,12,144,63,142,198,310,73,40,325,237,246,1778,2023-12-31
2023,11,314,94,248,206,244,69,11,375,340,446,2347,2023-11-30
2023,10,164,74,151,296,319,64,22,421,198,127,1836,2023-10-31
2023,9,93,66,104,151,278,26,27,255,249,187,1436,2023-09-30
2023,8,252,91,170,135,285,36,15,351,279,156,1770,2023-08-31
2023,7,160,74,112,149,227,48,21,230,251,147,1419,2023-07-31
2023,6,99,31,115,70,81,9,24,186,161,150,926,2023-06-30
2023,5,88,64,106,121,185,22,32,130,135,153,1036,2023-05-31
2023,4,208,39,140,117,160,110,10,188,99,51,1122,2023-04-30
2023,3,220,44,142,117,228,78,52,169,231,192,1473,2023-03-31
2023,2,156,83,121,89,258,41,28,232,114,94,1216,2023-02-28
2023,1,172,111,200,241,428,63,42,268,94,172,1791,2023-01-31
